id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
1241;Arkemusa Green No Yellow;41;aqua, ammonium lauryl sulfate, sodium myreth sulfate, sodium chloride, cocamidopropyl betaine, polyquaternium-10, linum usitatissimum seed oil, citric acid, parfum, acid violet 43, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/arkemusa-szampon-do-wlosow-blond-rozjasnionych-lub-siwych-500-ml-76971332.html;krecone/falowane;normalna;niska
1242;L'Erbolario Vetiver;99;aqua, vetiveria zizanoides root water, lauryl glucoside, sodium cocoyl glutamate, sodium cocoyl barley amino acids, parfum, decyl glucoside, vetiveria zizanoides root extract, glycerin, disodium cocoyl glutamate, starch hydroxypropyltrimonium chloride, xanthan gum, glyceryl oleate, citric acid, lactic acid, sodium lactate, sodium chloride, urea, benzyl alcohol, hexamethylindanopyran, limonene, linalyl acetate, pogostemon cablin oil, tetramethyl acetyloctahydronaphthalenes, benzoic acid, potassium sorbate, sodium benzoate;https://www.hebe.pl/lerbolario-szampon-i-zel-pod-prysznic-250-ml-76455851.html;normalne;normalna;srednia
1243;Korres;64;aqua, sodium laureth sulfate, butylene glycol, glycerin, peg-120 methyl glucose dioleate, decyl glucoside, sodium cocoamphoacetate, disodium undecylenamido mea-sulfosuccinate, sodium chloride, arctium lappa root extract, butylphenyl methylpropional, cetraria islandica extract, climbazole, cocamidopropyl betaine, echinacea purpurea extract, faex, foeniculum vulgare fruit extract, hedera helix leaf extract, helianthus annuus seed extract, hexyl cinnamal, hydrolyzed wheat protein, hydrolyzed wheat starch, lactic acid, lactitol, laurus nobilis leaf extract, limonene, linum usitatissimum seed extract, nasturtium officinale extract, origanum dictamnus extract, origanum majorana leaf extract, panthenol, phenoxyethanol, polyquaternium-10, potassium sorbate, salicylic acid, sideritis syriaca extract, sodium benzoate, sodium dehydroacetate, sodium gluconate, xylitol;https://www.hebe.pl/korres-szampon-przeciwlupiezowy-z-wyciagiem-z-liscia-laurowego-i-echinacei-250-ml-000000000000530911.html;krecone/falowane;tlusta/lupiez;wysoka
1244;Olive Era Greek Fig & Thyme;75;aqua, sodium laureth sulfate, sodium lauroyl sarcosinate, sodium chloride, cocoamidopropyl betaine, peg-4 rapeseedamide, parfum, sodium benzoate, lauric acid, didecyldimonium chloride, polyquaternium-7, potassium sorbate, citric acid, disodium edta, glycerin, sodium glycolate, phenoxyethanol, olea europaea fruit oil, thymus vulgaris leaf extract, ficus carica fruit extract, biosaccharide gum-1, cl 14700, sodium sulfate, hydroxycitronellal, coumarin, geraniol, linalool, limonene, alpha-isomethyl ionone;https://www.hebe.pl/olive-era-szampon-do-wlosow-z-bio-oliwa-z-oliwek-figa-i-tymiankiem-300-ml-63135229.html;normalne;normalna;srednia
1245;Phyto Curls;69;aqua, water, sodium lauroyl sarcosinate, erythritol, cocamidopropyl betaine, decyl glucoside, glycerin, acrylates copolymer, citric acid, guar hydroxypropyltrimonium chloride, pca glyceryl oleate, coco-glucoside, glyceryl oleate, chlorphenesin, polyquaternium-22, glycol distearate, sodium benzoate, parfum, sodium hydroxide, disodium lauryl sulfosuccinate, glyceryl laurate, trisodium ethylenediamine disuccinate, linalool, althaea officinalis root extract, benzyl alcohol, benzoic acid, dehydroacetic acid, tocopherol, hydrogenated vegetable glycerides citrate;https://www.hebe.pl/phyto-nawilzajacy-szampon-do-wlosow-kreconych-250-ml-000000000000648965.html;normalne;normalna;srednia
1246;Biolage ColorLast;89;aqua, sodium laureth sulfate, coco-betaine, glycol distearate, sodium chloride, cocamide mipa, sodium lauryl sulfate, amodimethicone, sodium benzoate, parfum, fragrance, sodium hydroxide, citric acid, hexylene glycol, polyquaternium-7, polyquaternium-10, peg-40 hydrogenated castor oil, salicylic acid, ci 60730, ext violet 2, carbomer, glycerin, limonene, trideceth-6, hexyl cinnamal, coumarin, benzyl alcohol, cetrimonium chloride, linalool, amyl cinnamal, glycine soja oil, soybean oil, tocopherol, sodium acetate, orchis mascula extract, isopropyl alcohol, ficus carica fruit, leaf extract, phenoxyethanol, xanthan gum, potassium sorbate;https://www.hebe.pl/biolage-szampon-neutralizujacy-zolte-tony-na-wlosach-blond-250-ml-46038662.html;krecone/falowane;tlusta/lupiez;srednia
1247;Aveda Pure Abundance;112;wateraqua, sodium coco-sulfate, disodium laureth sulfosuccinate, decyl glucoside, babassuamidopropyl betaine, sodium chloride, acacia senegal gum, aloe barbadensis leaf juice, hydrolyzed wheat protein, hydrolyzed wheat starch, laureth-3, trisodium sulfosuccinate, glycerin, cocamidopropyl pg-dimonium chloride phosphate, polysorbate 20, limonene, geraniol, linalool, citronellol, eugenol, benzyl benzoate, maltodextrin, sodium citrate, magnesium sulfate, sodium gluconate, potassium sorbate, polysorbate 80, magnesium nitrate, sodium sulfate, sodium benzoate, methylchloroisothiazolinone, methylisothiazolinone, bixa orellana seed extract, annatto;https://www.hebe.pl/aveda-szampon-do-wlosow-oslabionych-250-ml-77177156.html;normalne;sucha/wrazliwa;wysoka
1248;Bjobj;31;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, erythritol, decyl glucoside, glycerin, coco glucoside, glyceryl oleate, guar hydroxypropyl trimonium chloride, panthenol, linum usitatissimum seed extract, sodium hyaluronate, triticum vulgare germ oil, linum usitatissimum oil, argania spinosa kernel oil, parfum, dicaprylyl ether, lactic acid, sodium benzoate, potassium sorbate, benzyl alcohol;https://www.hebe.pl/bjobj-odzywczy-szampon-do-wlosow-suchych-i-zniszczonych-z-olejem-arganowym-i-lnianym-250-ml-000000000000454120.html;normalne;normalna;srednia
1249;Soap for Globe Ultra Rich;49;sodium coco-sulfate, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, aloe barbadensis leaf juice, argania spinosa kernel oil, ppg 3 benzyl ether myristate, panthenol, solanum tuberosum starch, laureth-23, cetearyl & cetyl alcohol, sodium lauroyl glycinate, isostearyl isostearate, cetyl stearate, stearic acid, polyquaternium -70, dipropylene glycol, potassium cetyl phosphate, sodium benzoate, polysilicone-29, potassium sorbate, ci 19140, aqua, parfum;https://www.hebe.pl/soap-for-globe-szampon-w-kostce-do-wlosow-suchych-i-zniszczonych-z-olejem-arganowym-80-g-49335030.html;normalne;sucha/wrazliwa;srednia
1250;Moroccanoil Color Care;189;aqua, sodium cocoyl isethionate, sodium lauroyl methyl isethionate, decyl glucoside, acrylates crosspolymer-4, peg-120 methyl glucose dioleate, coconut acid, ethylhexylglycerin, parfum, lauryl glucoside, argania spinosa kernel oil, pyrus malus fruit extract, punica granatum fruit extract, algin, chitosan, panthenol, tocopherol, quaternium-95, glyceryl caprylate, glycerin, citric acid, amodimethicone, pentaerythritol tetra-di-t-butyl hydroxyhydrocinnamate, guar hydroxypropyltrimonium chloride, c12-13 pareth-9, polyquaternium-7, sorbeth-230 tetraoleate, trideceth-5, caprylic capric triglyceride, sodium methyl isethionate, lauric acid, sorbic acid, fumaric acid, glycol stearate, sodium laurate, sorbitan laurate, propanediol, sodium isethionate, edta, potassium hydroxide, chlorphenesin, potassium sorbate, phenoxyethanol, sodium benzoate, alpha-isomethyl ionone, linalool;https://www.hebe.pl/moroccanoil-szampon-do-wlosow-farbowanych-250-ml-75838077.html;puszace/suche;normalna;srednia
1251;Sachajuan Ocean Mist Volume Shampoo;129;aqua, alcohol denat, sodium chloride, magnesium sulfate, hydrogenated starch hydrolysate, pvp, phenoxyethanol, peg-40 hydrogenated castor oil, parfum, panthenol, citric acid, ci 42090, linalool, limonene, hexyl cinnamal, benzyl salicylate, alpha-isomethyl ionone;https://www.hebe.pl/sachajuan-szampon-do-wlosow-nadajacy-objetosc-250-ml-41967847.html;normalne;normalna;srednia
1252;Lisap Milano Keraplant;87;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium cocoamphoacetate, phenoxyethanol, sodium cocoyl hydrolyzed wheat protein, citric acid, decyl glucoside, sodium polyacrylate, copolymer, limonene, menthol, coco-glucoside, propylene glycol, panax ginseng root extract, arginine, arctium majus root extract, acetyl tyrosine, hydrolyzed soy protein, polyquaternium-11, zinc gluconate, calcium pantothenate, niacinamide, ornithine hci citrulline, glucosamine hci, biotin, parfumsfragrance;https://www.hebe.pl/lisap-milano-szampon-przeciw-wypadaniu-wlosow-250-ml-76246542.html;normalne;normalna;wysoka
1253;Ayunche Rebalancing Moist;159;aqua, sodium laureth sulfate, ammonium lauryl sulfate, sorbitol, parfum, lauryl hydroxysultaine, soyamidopropylamine oxide, abies sibirica needle oil, guar hydroxypropyltrimonium chloride, peg-60 hydrogenated castor oil, sodium benzoate, caprylic, capric triglyceride, laureth, alcohol denat, cetyl alcohol, cocamide mea, lauric acid, phenoxyethanol, citric acid, caprylyl glycol, sodium salicylate, alcohol, trihydroxystearin, sodium chloride, sodium citrate, propanediol, butylene glycol, tetrasodium edta, camellia sinensis leaf extract, malt extract, lactobacillus ferment lysate, disodium edta, sodium methyl cocoyl taurate, hydrolyzed corn starch, pinus densiflora leaf extract, artemisia vulgaris extract, panax ginseng extract, glycine max seed extract, glycerin, 1,2-hexanediol, acrylates, ammonium methacrylate copolymer, polycaprolactone, polyglyceryl-10 laurate, ethylhexylglycerin, beta-glucan, camellia japonica seed oil, polyquaternium-11, limonene, linalool;https://www.hebe.pl/ayunche-nawilzajacy-szampon-do-wlosow-przywracajacy-rownowage-350-g-77167036.html;normalne;normalna;srednia
1254;Reistill;36;aqua, sodium coceth sulfate, cocamidopropyl betaine, sodium chloride, glycol stearate, parfum, glycerin, disodium laureth sulfosuccinate, citric acid, polyquaternium-10, peg-5 cocomonium methosulfate, magnesium nitrate, propylene glycol, sodium glutamate, magnesium chloride, sodium cocoyl glutamate, ci 19140, camellia sinensis leaf extract, helychrysum italicum extract, cocodimonium hydroxypropyl silk amino acids, hydrolyzed silk, hydrolyzed wheat protein, laurdimonium hydroxypropyl hydrolyzed wheat protein, methylchloroisothiazolinone, argania spinosa kernel oil, hydroxypropyl guar hydroxypropyltrimonium chloride, saccharomyces/zinc ferment, saccharomyces/iron ferment, saccharomyces/silicon ferment, saccharomyces/magnesium ferment, saccharomyces/copper ferment, methylisothiazolinone, leuconostoc/radish root ferment filtrate, ci 16035, ci 42090, phenoxyethanol, ethylhexylglycerin, tetrasodium glutamate diacetate;https://www.hebe.pl/reistill-szampon-do-wlosow-anti-age-250-ml--000000000000480924.html;krecone/falowane;normalna;wysoka
1255;L'Oréal Professionnel Paris Vitamino Color Spectrum;139;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, dimethicone, parfum, citric acid, hexylene glycol, sodium benzoate, sodium hydroxide, amodimethicone, carbomer, guar hydroxypropyltrimonium chloride, ci 60730, trideceth-10, glycerin, salicylic acid, glycol distearate, mica, ci 61570, ci 42090, ci 47005, peg-100 stearate, benzyl salicylate, steareth-6, coco-betaine, trideceth-3, ci 77891, benzyl alcohol, phenoxyethanol, hexyl cinnamal, linalool, alpha-isomethyl ionone, anise alcohol, limonene, fumaric acid, acetic acid;https://www.hebe.pl/loreal-professionnel-paris-szampon-do-wlosow-300-ml--000000000000598652.html;puszace/suche;tlusta/lupiez;srednia
1256;Arkemusa Green Olive;41;aqua, ammonium lauryl sulfate, sodium myreth sulfate, sodium chloride, cocamidopropyl betaine, polyquaternium-10, olea europaea fruit oil, butyrospermum parkii butter, citric acid, parfum, limonene, hexyl cinnamal, linalool, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/arkemusa-szampon-do-puszacych-sie-wlosow-500-ml-76971356.html;krecone/falowane;normalna;niska
1257;Inoar Argan Oil;139;aqua, disodium laureth sulfosuccinate, cocamidopropyl betaine, cocamide mea, polyquaternium-7, parfum, guar hydroxypropyltrimonium chloride, glycol distearate, lauryl glucoside, menthyl lactate, peg-120 methyl glucose dioleate, menthol, phenoxyethanol, panthenol, tocopheryl acetate, zingiber officinalis extract, argania spinosa kernel oil, simmondsia chinensis seed oil, theobroma cacao seed butter, parfum citric acid, ci 19140, alpha-isomethylionona, coumarin, geraniol, hydroxycitronellal, linalool;https://www.hebe.pl/inoar-wygladzajacy-szampon-do-wlosow-1000-ml-71309494.html;normalne;normalna;srednia
1258;Dr. Santé Banana Hair;55;aqua, sodium c14, lauryl, sodium, trisodium, cocamidopropyl, lauryl, cocamide, musa, astrocaryum, acetamide, hydrolyzed, panthenol, glycerin, sorbitol, sodium, cocoyl, cocoyl, wheat, polysorbate, linoleic, linolenic, simmondsia, tocopheryl, polysorbate, hydrolyzed, glycol, laureth, glyceryl, coco, hydroxypropyl, polyquaternium, ppg, styrene, parfum, disodium, sodium, citric, hydrogenated, tocopherol, benzoic, ci, ci;https://www.hebe.pl/dr.-sante-wygladzajacy-szampon-do-wlosow-z-sokiem-bananowym-1000-ml-59564632.html;normalne;normalna;srednia
1259;Bingospa;49;aqua, sodium laureth sulfate, lauramidopropyl betaine, sodium chloride, cocamide dea, propylene glycol, collagen, styrene, parfum, citric acid, ethylhexylglycerin, phenoxyethanol, dmdm, methylisothiazolinone, methylchloroisothiazolinone;https://www.hebe.pl/bingospa-kolagen-do-mycia-i-pielegnacji-wlosow-1000-ml-64746005.html;normalne;normalna;srednia
1260;Abril Et Nature Gold Lifting;58;aqua, sodium laureth sulfate, cocamidopropyl betaine, amodimethicone, peg-7 glyceryl cocoate, guar hydroxypropyltrimonium chloride, sodium hydroxide, sodium lauroamphoacetate, sodium chloride, sodium benzoate, coco-glucoside, glyceryl oleate, panthenol, polyquaternium-39, quaternium-80, c11-c15 pareth-7, laureth-9, glycerin, trideceth-12, citric acid, parfum, propylene glycol, benzoic acid, dehydroacetic acid, benzyl alcohol, malus domestica extract, xanthan gum, lecithin, phenoxyethanol, peg-90 glyceryl isostearate, laureth-2, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/abril-et-nature-szampon-do-wlosow-kreconych-250-ml-70852601.html;puszace/suche;normalna;srednia
1261;Maui Moisture Nourish & Moisture + Coconut Milk;62;aloe barbadensis leaf vera, water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, ppg-2 hydroxyethyl coco/isostearamide, glycol distearate, cocos nucifera water, cocos nucifera fruit extract, psidium guajava seed oil, mangifera indica seed butter, polyquaternium-10, sodium cocoyl isethionate, cocamidopropyl hydroxysultaine, peg-120 methyl glucose dioleate, guar hydroxypropyltrimonium chloride, methyl gluceth-10, sodium chloride, tapioca starch, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate, fragrance;https://www.hebe.pl/maui-moisture-szampon-do-wlosow-suchych-z-mleczkiem-kokosowym-385-ml-70852804.html;krecone/falowane;sucha/wrazliwa;niska
1262;Rated Green Real Tamanu;126;water, disodium laureth sulfosuccinate, hamamelis virginiana, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, glycol distearate, cocamide mea, octyldodeceth-16, sodium methyl cocoyl taurate, lauryl glucoside, citrus aurantium bergamia, olea europaea, citrus aurantium dulcis, litchi chinensis pericarp extract, pueraria lobata root extract, lavandula angustifolia, cedrus atlantica bark oil, pelargonium graveolens flower oil, copaifera officinalis resin, artemisia absinthium extract, myrtus communis oil, rose flower oil, vanilla planifolia fruit extract, aesculus hippocastanum seed extract, calophyllum inophyllum seed oil, ferula galbaniflua resin oil, cocos nucifera, mentha piperita, simmondsia chinensis seed oil, aloe barbadensis leaf juice, melaleuca alternifolia leaf oil, sodium chloride, citric acid, guar hydroxypropyltrimonium chloride, glycerin, trihydroxystearin, cocamide methyl mea, panthenol, hexanediol, menthol, propanediol, mannitol, glycyrrhetinic acid, ammonium glycyrrhizate, zinc gluconate, butylene glycol, tocopherol, alcohol, disodium edta, caffeine, sodium benzoate, potassium sorbate, limonene, linalool;https://www.hebe.pl/rated-green-szampon-kojacy-skore-glowy-z-olejem-tamanu-400-ml-58549191.html;normalne;sucha/wrazliwa;srednia
1263;Revlon Professional Pro You The Fixer Repair;44;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, peg-3 distearate, butylene glycol, citric acid, disodium edta, glyceryl laurate, hydroxypropylgluconamide, isostearamide mipa, keratin amino acids, panthenol, polyquaternium-10, sodium acetate, triethanolamine, parfum, citronellol, limonene, linalool, ethylparaben, methylparaben, phenoxyethanol;https://www.hebe.pl/revlon-professional-regenerujacy-szampon-do-wlosow-zniszczonych-350-ml-54814635.html;krecone/falowane;normalna;srednia
1264;BioMagic Macadamia Oil Series;39;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, glycol distearate, cocamide mea, laur eth-10, decyl glucoside, parfum, styrene/acrylate copolymer, polyquaternium-10, silicone quaternium-18, trideth-6, trideth-12, macadamia ternifolia seed oil, benzyl alcohol, methylchloroisothiazolinone, methylisothiazolinone, tetrasodium edta, citricacid, benzyl salicylate, hydroxycitronellal;https://www.hebe.pl/biomagic-szampon-do-wlosow-farbowanych-z-olejkiem-macadamia-300-ml-59699620.html;krecone/falowane;normalna;niska
